RB,Ameer,Abdullah,DET,Lions,Running Back
WR,Davante,Adams,GB,Packers,Wide Receiver
TE,Jerell,Adams,NYG,Giants,Tight End
K,Roberto,Aguayo,TB,Buccaneers,Kicker
WR,Kamar,Aiken,IND,Colts,Wide Receiver
RB,Jay,Ajayi,MIA,Dolphins,Running Back
TE,Dwayne,Allen,NE,Patriots,Tight End
WR,Keenan,Allen,LAC,Chargers,Wide Receiver
WR,Geronimo,Allison,GB,Packers,Wide Receiver
RB,C.J.,Anderson,DEN,Broncos,Running Back
WR,Robby,Anderson,NYJ,Jets,Wide Receiver
RB,Matt,Asiata,DET,Lions,Running Back
WR,Tavon,Austin,LAR,Rams,Wide Receiver
K,Dan,Bailey,DAL,Cowboys,Kicker
WR,Doug,Baldwin,SEA,Seahawks,Wide Receiver
RB,Kenjon,Barner,LAC,Chargers,Running Back
TE,Gary,Barnidge,FA,Free Agent,Tight End
K,Connor,Barth,CHI,Bears,Kicker
WR,Cole,Beasley,DAL,Cowboys,Wide Receiver
WR,Odell,Beckham Jr.,NYG,Giants,Wide Receiver
RB,Le'Veon,Bell,PIT,Steelers,Running Back
WR,Kelvin,Benjamin,CAR,Panthers,Wide Receiver
WR,Travis,Benjamin,LAC,Chargers,Wide Receiver
TE,Martellus,Bennett,GB,Packers,Tight End
RB,Giovani,Bernard,CIN,Bengals,Running Back
RB,LeGarrette,Blount,PHI,Eagles,Running Back
WR,Anquan,Boldin,FA,Free Agent,Wide Receiver
RB,Devontae,Booker,DEN,Broncos,Running Back
QB,Blake,Bortles,JAC,Jaguars,Quarterback
K,Chris,Boswell,PIT,Steelers,Kicker
WR,Tyler,Boyd,CIN,Bengals,Wide Receiver
QB,Sam,Bradford,MIN,Vikings,Quarterback
QB,Tom,Brady,NE,Patriots,Quarterback
TE,Cameron,Brate,TB,Buccaneers,Tight End
QB,Drew,Brees,NO,Saints,Quarterback
QB,Teddy,Bridgewater,MIN,Vikings,Quarterback
WR,Kenny,Britt,CLE,Browns,Wide Receiver
WR,Antonio,Brown,PIT,Steelers,Wide Receiver
WR,Jaron,Brown,ARZ,Cardinals,Wide Receiver
WR,John,Brown,ARZ,Cardinals,Wide Receiver
WR,Philly,Brown,BUF,Bills,Wide Receiver
WR,Dez,Bryant,DAL,Cowboys,Wide Receiver
WR,Martavis,Bryant,PIT,Steelers,Wide Receiver
K,Matt,Bryant,ATL,Falcons,Kicker
RB,Rex,Burkhead,NE,Patriots,Running Back
WR,Brice,Butler,DAL,Cowboys,Wide Receiver
QB,Derek,Carr,OAK,Raiders,Quarterback
K,Chandler,Catanzaro,NYJ,Jets,Kicker
TE,Garrett,Celek,SF,49ers,Tight End
RB,Jamaal,Charles,DEN,Broncos,Running Back
TE,Charles,Clay,BUF,Bills,Tight End
WR,Randall,Cobb,GB,Packers,Wide Receiver
RB,Tarik,Cohen,CHI,Bears,Running Back
WR,Brandon,Coleman,NO,Saints,Wide Receiver
WR,Corey,Coleman,CLE,Browns,Wide Receiver
RB,Tevin,Coleman,ATL,Falcons,Running Back
WR,Chris,Conley,KC,Chiefs,Wide Receiver
RB,Dalvin,Cook,MIN,Vikings,Running Back
TE,Jared,Cook,OAK,Raiders,Tight End
WR,Brandin,Cooks,NE,Patriots,Wide Receiver
WR,Amari,Cooper,OAK,Raiders,Wide Receiver
WR,Pharoh,Cooper,LAR,Rams,Wide Receiver
QB,Kirk,Cousins,WAS,Redskins,Quarterback
WR,Michael,Crabtree,OAK,Raiders,Wide Receiver
K,Mason,Crosby,GB,Packers,Kicker
WR,Jamison,Crowder,WAS,Redskins,Wide Receiver
RB,Isaiah,Crowell,CLE,Browns,Running Back
QB,Andy,Dalton,CIN,Bengals,Quarterback
WR,Corey,Davis,TEN,Titans,Wide Receiver
RB,Knile,Davis,PIT,Steelers,Running Back
TE,Vernon,Davis,WAS,Redskins,Tight End
K,Phil,Dawson,ARZ,Cardinals,Kicker
WR,Eric,Decker,NYJ,Jets,Wide Receiver
WR,Stefon,Diggs,MIN,Vikings,Wide Receiver
RB,Kenneth,Dixon,BAL,Ravens,Running Back
QB,Joshua,Dobbs,PIT,Steelers,Quarterback
WR,Josh,Doctson,WAS,Redskins,Wide Receiver
WR,Phillip,Dorsett,IND,Colts,Wide Receiver
TE,Jack,Doyle,IND,Colts,Tight End
RB,Kenyan,Drake,MIA,Dolphins,Running Back
